product_name,brand,category,model_number,price,product_url,image_url,msrp,release_date,skill_level,performance_type,is_current_generation
G430 MAX ドライバー,PING,driver,G430 MAX,93500,https://www.clubping.jp/product/product2022_g430max.html,,93500,2022-09-16,all_levels,forgiveness,false
G710 アイアン 6本セット,PING,iron,G710,126500,https://www.clubping.jp/product/product2020_g710.html,,126500,2020-03-19,all_levels,forgiveness,false
G430 アイアン 6本セット,PING,iron,G430,158400,https://www.clubping.jp/product/product2022_g430.html,,158400,2022-09-16,all_levels,forgiveness,
P790 (2023) アイアン 6本セット,TaylorMade,iron,P790 (2023),153000,https://www.taylormadegolf.jp/taylormade-irons/P790-('23)-%E3%82%A2%E3%82%A4%E3%82%A2%E3%83%B3/DW-JKP81.html?lang=ja_JP,,153000,2023-09-08,advanced,distance,
ゼクシオ13 ドライバー,XXIO,driver,XXIO13,92400,https://sports.dunlop.co.jp/golf/xxio/xxio2024/,,92400,2023-12-09,beginner,distance,
TSR3 ドライバー,Titleist,driver,TSR3,88000,https://www.titleist.co.jp/golf-clubs/drivers/,,88000,2022-09-30,advanced,control,false
ツアーワールド TW757 Type-S ドライバー,Honma,driver,TW757 Type-S,85800,https://honmagolf-ec.com/club/driver/TW757_S_1W-df,,85800,2022-03-25,all_levels,forgiveness,
B3 MAX ドライバー,Bridgestone,driver,B3 MAX,99000,https://jp.golf.bridgestone/bs-products/bsg/b_series/driver/b3max,,99000,2024-04-05,all_levels,forgiveness,
